filename, year, varnm, plev
/home/jwalker/datastore/merra2/daily/1981/merra2_H500_40E-120E_90S-90N_1981.nc, 1981, H, 500 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_H400_40E-120E_90S-90N_1981.nc, 1981, H, 400 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_H300_40E-120E_90S-90N_1981.nc, 1981, H, 300 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_H250_40E-120E_90S-90N_1981.nc, 1981, H, 250 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_H200_40E-120E_90S-90N_1981.nc, 1981, H, 200 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_H150_40E-120E_90S-90N_1981.nc, 1981, H, 150 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_H100_40E-120E_90S-90N_1981.nc, 1981, H, 100 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_H70_40E-120E_90S-90N_1981.nc, 1981, H, 70 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_H50_40E-120E_90S-90N_1981.nc, 1981, H, 50 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_H30_40E-120E_90S-90N_1981.nc, 1981, H, 30 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_H20_40E-120E_90S-90N_1981.nc, 1981, H, 20 OK
/home/jwalker/datastore/merra2/daily/1982/merra2_U1000_40E-120E_90S-90N_1982.nc, 1982, U, 1000 OK
/home/jwalker/datastore/merra2/daily/1982/merra2_U925_40E-120E_90S-90N_1982.nc, 1982, U, 925 OK
/home/jwalker/datastore/merra2/daily/1982/merra2_U850_40E-120E_90S-90N_1982.nc, 1982, U, 850 OK
/home/jwalker/datastore/merra2/daily/1982/merra2_U775_40E-120E_90S-90N_1982.nc, 1982, U, 775 OK
/home/jwalker/datastore/merra2/daily/1982/merra2_U700_40E-120E_90S-90N_1982.nc, 1982, U, 700 OK
/home/jwalker/datastore/merra2/daily/1982/merra2_U600_40E-120E_90S-90N_1982.nc, 1982, U, 600 OK
/home/jwalker/datastore/merra2/daily/1982/merra2_U500_40E-120E_90S-90N_1982.nc, 1982, U, 500 OK
/home/jwalker/datastore/merra2/daily/1982/merra2_U400_40E-120E_90S-90N_1982.nc, 1982, U, 400 OK
/home/jwalker/datastore/merra2/daily/1982/merra2_U300_40E-120E_90S-90N_1982.nc, 1982, U, 300 OK
/home/jwalker/datastore/merra2/daily/1982/merra2_U250_40E-120E_90S-90N_1982.nc, 1982, U, 250 OK
/home/jwalker/datastore/merra2/daily/1982/merra2_U200_40E-120E_90S-90N_1982.nc, 1982, U, 200 OK
/home/jwalker/datastore/merra2/daily/1982/merra2_U150_40E-120E_90S-90N_1982.nc, 1982, U, 150 OK
/home/jwalker/datastore/merra2/daily/1982/merra2_U100_40E-120E_90S-90N_1982.nc, 1982, U, 100 OK
/home/jwalker/datastore/merra2/daily/1982/merra2_U70_40E-120E_90S-90N_1982.nc, 1982, U, 70 OK
/home/jwalker/datastore/merra2/daily/1982/merra2_U50_40E-120E_90S-90N_1982.nc, 1982, U, 50 OK
/home/jwalker/datastore/merra2/daily/1982/merra2_U30_40E-120E_90S-90N_1982.nc, 1982, U, 30 OK
